response_id,survey_id,student_id,fecha,anio,mes,semana,dia_semana,hora,calidad_clase,comprension_tema,evaluacion_docente,comentario,sentimiento_label,sentimiento_score,emo_feliz,emo_neutral,emo_triste,emo_enojado,emo_sorprendido,emocion_predominante,calidad_normalizada,comprension_normalizada,docente_normalizado,datos_completos,outlier_flag
1,7,212,2024-06-06 09:00:00,2024,6,23,3,9,4,4,5,"Más o menos, algunos conceptos poco claros",neutral,0.531,0.002,0.566,0.056,0.337,0.039,neutral,0.75,0.75,1.0,True,False
2,4,369,2024-05-05 12:00:00,2024,5,18,6,12,5,3,1,"Bien en general, aunque faltó práctica",neutral,0.443,0.088,0.321,0.314,0.081,0.196,neutral,1.0,0.5,0.0,True,False
3,30,358,2024-03-26 08:00:00,2024,3,13,1,8,4,5,4,La clase fue muy dinámica e interesante,positivo,0.761,0.296,0.102,0.274,0.013,0.314,sorprendido,0.75,1.0,0.75,True,False
4,21,432,2024-11-03 12:00:00,2024,11,44,6,12,4,3,5,Muy difícil seguir el ritmo de la clase,negativo,0.085,0.02,0.165,0.366,0.137,0.312,triste,0.75,0.5,1.0,True,False
5,5,360,2024-05-24 07:00:00,2024,5,21,4,7,4,3,5,"Aprendí mucho hoy, muy buena didáctica",positivo,0.738,0.249,0.018,0.391,0.327,0.015,triste,0.75,0.5,1.0,True,False
6,27,425,2024-10-13 13:00:00,2024,10,41,6,13,4,1,4,"Faltaron ejemplos prácticos, solo teoría",negativo,0.328,0.467,0.095,0.107,0.263,0.068,feliz,0.75,0.0,0.75,True,False
7,14,142,2024-03-03 08:00:00,2024,3,9,6,8,3,5,3,Muy buena metodología del docente,positivo,0.673,0.145,0.061,0.246,0.236,0.312,sorprendido,0.5,1.0,0.5,True,False
8,21,144,2024-03-27 16:00:00,2024,3,13,2,16,4,4,4,Excelente manejo del tiempo y ejemplos,positivo,0.68,0.186,0.206,0.235,0.235,0.139,triste,0.75,0.75,0.75,True,False
9,24,162,2024-04-13 09:00:00,2024,4,15,5,9,5,1,5,"No entendí casi nada, muy confuso",negativo,0.056,0.024,0.287,0.114,0.187,0.388,sorprendido,1.0,0.0,1.0,True,False
10,10,319,2024-04-13 17:00:00,2024,4,15,5,17,3,1,5,"Regular, podría mejorar el ritmo",neutral,0.423,0.295,0.066,0.001,0.431,0.207,enojado,0.5,0.0,1.0,True,False
11,5,297,2024-08-08 14:00:00,2024,8,32,3,14,5,5,4,"Aprendí mucho hoy, muy buena didáctica",positivo,0.698,0.251,0.253,0.106,0.275,0.116,enojado,1.0,1.0,0.75,True,False
12,29,454,2024-05-17 10:00:00,2024,5,20,4,10,3,5,1,La clase fue aburrida y poco dinámica,negativo,0.13,0.106,0.324,0.126,0.002,0.442,sorprendido,0.5,1.0,0.0,True,False
13,9,90,2024-10-21 17:00:00,2024,10,43,0,17,4,4,4,Clase muy bien estructurada y organizada,positivo,0.896,0.257,0.281,0.027,0.095,0.339,sorprendido,0.75,0.75,0.75,True,False
14,22,436,2024-12-02 11:00:00,2024,12,49,0,11,5,4,5,"Faltaron ejemplos prácticos, solo teoría",negativo,0.254,0.075,0.394,0.005,0.142,0.384,neutral,1.0,0.75,1.0,True,False
15,10,163,2024-07-20 17:00:00,2024,7,29,5,17,4,4,2,"Me quedó muy claro el tema, gracias",positivo,0.899,0.427,0.057,0.25,0.048,0.218,feliz,0.75,0.75,0.25,True,False
16,15,145,2024-12-19 14:00:00,2024,12,51,3,14,2,3,5,"Me quedó muy claro el tema, gracias",positivo,0.673,0.09,0.287,0.011,0.1,0.512,sorprendido,0.25,0.5,1.0,True,False
17,24,439,2024-06-06 07:00:00,2024,6,23,3,7,4,4,5,La clase fue muy dinámica e interesante,positivo,0.709,0.318,0.006,0.033,0.2,0.443,sorprendido,0.75,0.75,1.0,True,False
18,4,293,2024-05-18 17:00:00,2024,5,20,5,17,4,3,5,Muy buena metodología del docente,positivo,0.776,0.195,0.019,0.131,0.197,0.458,sorprendido,0.75,0.5,1.0,True,False
19,30,268,2024-11-07 18:00:00,2024,11,45,3,18,2,4,4,El docente domina el tema perfectamente,positivo,0.933,0.263,0.181,0.244,0.055,0.258,feliz,0.25,0.75,0.75,True,False
20,18,67,2024-09-17 07:00:00,2024,9,38,1,7,4,3,5,Excelente manejo del tiempo y ejemplos,positivo,0.878,0.184,0.171,0.289,0.284,0.072,triste,0.75,0.5,1.0,True,False
21,19,438,2024-04-01 11:00:00,2024,4,14,0,11,1,4,4,La clase fue aburrida y poco dinámica,negativo,0.109,0.504,0.125,0.242,0.054,0.074,feliz,0.0,0.75,0.75,True,False
22,14,202,2024-06-08 18:00:00,2024,6,23,5,18,4,5,3,La clase fue aburrida y poco dinámica,negativo,0.349,0.134,0.272,0.303,0.125,0.166,triste,0.75,1.0,0.5,True,False
23,28,384,2024-06-01 07:00:00,2024,6,22,5,7,4,4,4,Muy buena metodología del docente,positivo,0.9,0.163,0.432,0.022,0.268,0.116,neutral,0.75,0.75,0.75,True,False
24,3,28,2024-08-15 15:00:00,2024,8,33,3,15,4,5,5,"Faltaron ejemplos prácticos, solo teoría",negativo,0.238,0.108,0.231,0.154,0.28,0.227,enojado,0.75,1.0,1.0,True,False
25,9,269,2024-06-14 08:00:00,2024,6,24,4,8,4,5,4,"Regular, podría mejorar el ritmo",neutral,0.541,0.146,0.255,0.177,0.323,0.099,enojado,0.75,1.0,0.75,True,False
