time_id,fecha_completa,anio,mes,mes_nombre,trimestre,semana,dia,dia_semana,dia_nombre,hora,turno
1,2024-06-06 09:00:00,2024,6,June,2,23,6,3,Thursday,9,Mañana
2,2024-05-05 12:00:00,2024,5,May,2,18,5,6,Sunday,12,Mañana
3,2024-03-26 08:00:00,2024,3,March,1,13,26,1,Tuesday,8,Mañana
4,2024-11-03 12:00:00,2024,11,November,4,44,3,6,Sunday,12,Mañana
5,2024-05-24 07:00:00,2024,5,May,2,21,24,4,Friday,7,Mañana
6,2024-10-13 13:00:00,2024,10,October,4,41,13,6,Sunday,13,Tarde
7,2024-03-03 08:00:00,2024,3,March,1,9,3,6,Sunday,8,Mañana
8,2024-03-27 16:00:00,2024,3,March,1,13,27,2,Wednesday,16,Tarde
9,2024-04-13 09:00:00,2024,4,April,2,15,13,5,Saturday,9,Mañana
10,2024-04-13 17:00:00,2024,4,April,2,15,13,5,Saturday,17,Tarde
11,2024-08-08 14:00:00,2024,8,August,3,32,8,3,Thursday,14,Tarde
12,2024-05-17 10:00:00,2024,5,May,2,20,17,4,Friday,10,Mañana
13,2024-10-21 17:00:00,2024,10,October,4,43,21,0,Monday,17,Tarde
14,2024-12-02 11:00:00,2024,12,December,4,49,2,0,Monday,11,Mañana
15,2024-07-20 17:00:00,2024,7,July,3,29,20,5,Saturday,17,Tarde
16,2024-12-19 14:00:00,2024,12,December,4,51,19,3,Thursday,14,Tarde
17,2024-06-06 07:00:00,2024,6,June,2,23,6,3,Thursday,7,Mañana
18,2024-05-18 17:00:00,2024,5,May,2,20,18,5,Saturday,17,Tarde
19,2024-11-07 18:00:00,2024,11,November,4,45,7,3,Thursday,18,Noche
20,2024-09-17 07:00:00,2024,9,September,3,38,17,1,Tuesday,7,Mañana
21,2024-04-01 11:00:00,2024,4,April,2,14,1,0,Monday,11,Mañana
22,2024-06-08 18:00:00,2024,6,June,2,23,8,5,Saturday,18,Noche
23,2024-06-01 07:00:00,2024,6,June,2,22,1,5,Saturday,7,Mañana
24,2024-08-15 15:00:00,2024,8,August,3,33,15,3,Thursday,15,Tarde
25,2024-06-14 08:00:00,2024,6,June,2,24,14,4,Friday,8,Mañana
26,2024-08-26 18:00:00,2024,8,August,3,35,26,0,Monday,18,Noche
27,2024-11-07 12:00:00,2024,11,November,4,45,7,3,Thursday,12,Mañana
28,2024-08-03 17:00:00,2024,8,August,3,31,3,5,Saturday,17,Tarde
29,2024-04-03 11:00:00,2024,4,April,2,14,3,2,Wednesday,11,Mañana
30,2024-09-01 07:00:00,2024,9,September,3,35,1,6,Sunday,7,Mañana
31,2024-08-17 08:00:00,2024,8,August,3,33,17,5,Saturday,8,Mañana
32,2024-03-16 15:00:00,2024,3,March,1,11,16,5,Saturday,15,Tarde
33,2024-03-28 16:00:00,2024,3,March,1,13,28,3,Thursday,16,Tarde
34,2024-12-17 11:00:00,2024,12,December,4,51,17,1,Tuesday,11,Mañana
35,2024-11-16 07:00:00,2024,11,November,4,46,16,5,Saturday,7,Mañana
36,2024-04-21 12:00:00,2024,4,April,2,16,21,6,Sunday,12,Mañana
37,2024-03-05 18:00:00,2024,3,March,1,10,5,1,Tuesday,18,Noche
38,2024-10-27 08:00:00,2024,10,October,4,43,27,6,Sunday,8,Mañana
39,2024-12-08 08:00:00,2024,12,December,4,49,8,6,Sunday,8,Mañana
40,2024-07-22 14:00:00,2024,7,July,3,30,22,0,Monday,14,Tarde
41,2024-06-16 13:00:00,2024,6,June,2,24,16,6,Sunday,13,Tarde
42,2024-08-25 16:00:00,2024,8,August,3,34,25,6,Sunday,16,Tarde
43,2024-04-08 07:00:00,2024,4,April,2,15,8,0,Monday,7,Mañana
44,2024-08-18 16:00:00,2024,8,August,3,33,18,6,Sunday,16,Tarde
45,2024-05-13 12:00:00,2024,5,May,2,20,13,0,Monday,12,Mañana
46,2024-04-21 09:00:00,2024,4,April,2,16,21,6,Sunday,9,Mañana
47,2024-03-16 12:00:00,2024,3,March,1,11,16,5,Saturday,12,Mañana
48,2024-09-11 18:00:00,2024,9,September,3,37,11,2,Wednesday,18,Noche
49,2024-06-17 11:00:00,2024,6,June,2,25,17,0,Monday,11,Mañana
50,2024-03-12 07:00:00,2024,3,March,1,11,12,1,Tuesday,7,Mañana
51,2024-08-23 08:00:00,2024,8,August,3,34,23,4,Friday,8,Mañana
52,2024-04-17 18:00:00,2024,4,April,2,16,17,2,Wednesday,18,Noche
53,2024-07-06 14:00:00,2024,7,July,3,27,6,5,Saturday,14,Tarde
54,2024-06-09 12:00:00,2024,6,June,2,23,9,6,Sunday,12,Mañana
55,2024-09-21 10:00:00,2024,9,September,3,38,21,5,Saturday,10,Mañana
56,2024-03-29 12:00:00,2024,3,March,1,13,29,4,Friday,12,Mañana
57,2024-09-15 09:00:00,2024,9,September,3,37,15,6,Sunday,9,Mañana
58,2024-11-12 15:00:00,2024,11,November,4,46,12,1,Tuesday,15,Tarde
59,2024-08-03 07:00:00,2024,8,August,3,31,3,5,Saturday,7,Mañana
60,2024-08-15 07:00:00,2024,8,August,3,33,15,3,Thursday,7,Mañana
61,2024-08-19 17:00:00,2024,8,August,3,34,19,0,Monday,17,Tarde
62,2024-08-10 10:00:00,2024,8,August,3,32,10,5,Saturday,10,Mañana
63,2024-03-29 10:00:00,2024,3,March,1,13,29,4,Friday,10,Mañana
64,2024-10-22 08:00:00,2024,10,October,4,43,22,1,Tuesday,8,Mañana
65,2024-11-18 17:00:00,2024,11,November,4,47,18,0,Monday,17,Tarde
66,2024-10-02 08:00:00,2024,10,October,4,40,2,2,Wednesday,8,Mañana
67,2024-06-08 09:00:00,2024,6,June,2,23,8,5,Saturday,9,Mañana
68,2024-08-06 08:00:00,2024,8,August,3,32,6,1,Tuesday,8,Mañana
69,2024-10-16 09:00:00,2024,10,October,4,42,16,2,Wednesday,9,Mañana
70,2024-10-24 10:00:00,2024,10,October,4,43,24,3,Thursday,10,Mañana
71,2024-07-15 12:00:00,2024,7,July,3,29,15,0,Monday,12,Mañana
72,2024-04-13 17:00:00,2024,4,April,2,15,13,5,Saturday,17,Tarde
73,2024-03-13 07:00:00,2024,3,March,1,11,13,2,Wednesday,7,Mañana
74,2024-08-21 07:00:00,2024,8,August,3,34,21,2,Wednesday,7,Mañana
75,2024-07-28 17:00:00,2024,7,July,3,30,28,6,Sunday,17,Tarde
76,2024-10-21 15:00:00,2024,10,October,4,43,21,0,Monday,15,Tarde
77,2024-09-30 10:00:00,2024,9,September,3,40,30,0,Monday,10,Mañana
78,2024-10-20 12:00:00,2024,10,October,4,42,20,6,Sunday,12,Mañana
79,2024-11-05 08:00:00,2024,11,November,4,45,5,1,Tuesday,8,Mañana
80,2024-04-10 11:00:00,2024,4,April,2,15,10,2,Wednesday,11,Mañana
81,2024-11-09 15:00:00,2024,11,November,4,45,9,5,Saturday,15,Tarde
82,2024-03-13 15:00:00,2024,3,March,1,11,13,2,Wednesday,15,Tarde
83,2024-07-07 17:00:00,2024,7,July,3,27,7,6,Sunday,17,Tarde
84,2024-12-06 16:00:00,2024,12,December,4,49,6,4,Friday,16,Tarde
85,2024-07-22 09:00:00,2024,7,July,3,30,22,0,Monday,9,Mañana
86,2024-10-05 18:00:00,2024,10,October,4,40,5,5,Saturday,18,Noche
87,2024-05-10 08:00:00,2024,5,May,2,19,10,4,Friday,8,Mañana
88,2024-07-14 18:00:00,2024,7,July,3,28,14,6,Sunday,18,Noche
89,2024-03-17 09:00:00,2024,3,March,1,11,17,6,Sunday,9,Mañana
90,2024-05-31 18:00:00,2024,5,May,2,22,31,4,Friday,18,Noche
91,2024-03-09 15:00:00,2024,3,March,1,10,9,5,Saturday,15,Tarde
92,2024-07-25 18:00:00,2024,7,July,3,30,25,3,Thursday,18,Noche
93,2024-08-08 16:00:00,2024,8,August,3,32,8,3,Thursday,16,Tarde
94,2024-05-24 10:00:00,2024,5,May,2,21,24,4,Friday,10,Mañana
95,2024-06-10 16:00:00,2024,6,June,2,24,10,0,Monday,16,Tarde
96,2024-08-11 10:00:00,2024,8,August,3,32,11,6,Sunday,10,Mañana
97,2024-03-10 07:00:00,2024,3,March,1,10,10,6,Sunday,7,Mañana
98,2024-04-05 10:00:00,2024,4,April,2,14,5,4,Friday,10,Mañana
99,2024-05-09 08:00:00,2024,5,May,2,19,9,3,Thursday,8,Mañana
100,2024-04-26 11:00:00,2024,4,April,2,17,26,4,Friday,11,Mañana
101,2024-08-15 15:00:00,2024,8,August,3,33,15,3,Thursday,15,Tarde
102,2024-06-16 15:00:00,2024,6,June,2,24,16,6,Sunday,15,Tarde
103,2024-12-08 14:00:00,2024,12,December,4,49,8,6,Sunday,14,Tarde
104,2024-10-18 13:00:00,2024,10,October,4,42,18,4,Friday,13,Tarde
105,2024-03-12 18:00:00,2024,3,March,1,11,12,1,Tuesday,18,Noche
106,2024-04-20 18:00:00,2024,4,April,2,16,20,5,Saturday,18,Noche
107,2024-11-13 15:00:00,2024,11,November,4,46,13,2,Wednesday,15,Tarde
108,2024-06-18 11:00:00,2024,6,June,2,25,18,1,Tuesday,11,Mañana
109,2024-09-27 10:00:00,2024,9,September,3,39,27,4,Friday,10,Mañana
110,2024-04-30 17:00:00,2024,4,April,2,18,30,1,Tuesday,17,Tarde
111,2024-04-03 16:00:00,2024,4,April,2,14,3,2,Wednesday,16,Tarde
112,2024-03-30 14:00:00,2024,3,March,1,13,30,5,Saturday,14,Tarde
113,2024-12-15 15:00:00,2024,12,December,4,50,15,6,Sunday,15,Tarde
114,2024-11-23 09:00:00,2024,11,November,4,47,23,5,Saturday,9,Mañana
115,2024-10-06 12:00:00,2024,10,October,4,40,6,6,Sunday,12,Mañana
116,2024-05-13 13:00:00,2024,5,May,2,20,13,0,Monday,13,Tarde
117,2024-09-22 12:00:00,2024,9,September,3,38,22,6,Sunday,12,Mañana
118,2024-05-24 12:00:00,2024,5,May,2,21,24,4,Friday,12,Mañana
119,2024-08-28 07:00:00,2024,8,August,3,35,28,2,Wednesday,7,Mañana
120,2024-12-11 08:00:00,2024,12,December,4,50,11,2,Wednesday,8,Mañana
121,2024-12-07 08:00:00,2024,12,December,4,49,7,5,Saturday,8,Mañana
122,2024-12-07 17:00:00,2024,12,December,4,49,7,5,Saturday,17,Tarde
123,2024-05-30 13:00:00,2024,5,May,2,22,30,3,Thursday,13,Tarde
124,2024-04-23 09:00:00,2024,4,April,2,17,23,1,Tuesday,9,Mañana
125,2024-03-28 16:00:00,2024,3,March,1,13,28,3,Thursday,16,Tarde
126,2024-06-03 11:00:00,2024,6,June,2,23,3,0,Monday,11,Mañana
127,2024-10-15 16:00:00,2024,10,October,4,42,15,1,Tuesday,16,Tarde
128,2024-11-21 15:00:00,2024,11,November,4,47,21,3,Thursday,15,Tarde
129,2024-06-28 10:00:00,2024,6,June,2,26,28,4,Friday,10,Mañana
130,2024-06-08 12:00:00,2024,6,June,2,23,8,5,Saturday,12,Mañana
131,2024-04-17 08:00:00,2024,4,April,2,16,17,2,Wednesday,8,Mañana
132,2024-07-20 13:00:00,2024,7,July,3,29,20,5,Saturday,13,Tarde
133,2024-06-15 10:00:00,2024,6,June,2,24,15,5,Saturday,10,Mañana
134,2024-10-15 07:00:00,2024,10,October,4,42,15,1,Tuesday,7,Mañana
135,2024-10-07 15:00:00,2024,10,October,4,41,7,0,Monday,15,Tarde
136,2024-05-25 11:00:00,2024,5,May,2,21,25,5,Saturday,11,Mañana
137,2024-12-26 12:00:00,2024,12,December,4,52,26,3,Thursday,12,Mañana
138,2024-03-07 16:00:00,2024,3,March,1,10,7,3,Thursday,16,Tarde
139,2024-06-15 16:00:00,2024,6,June,2,24,15,5,Saturday,16,Tarde
140,2024-08-13 15:00:00,2024,8,August,3,33,13,1,Tuesday,15,Tarde
141,2024-09-15 12:00:00,2024,9,September,3,37,15,6,Sunday,12,Mañana
142,2024-05-12 16:00:00,2024,5,May,2,19,12,6,Sunday,16,Tarde
143,2024-10-07 07:00:00,2024,10,October,4,41,7,0,Monday,7,Mañana
144,2024-04-03 09:00:00,2024,4,April,2,14,3,2,Wednesday,9,Mañana
145,2024-09-17 11:00:00,2024,9,September,3,38,17,1,Tuesday,11,Mañana
146,2024-12-19 14:00:00,2024,12,December,4,51,19,3,Thursday,14,Tarde
147,2024-12-11 10:00:00,2024,12,December,4,50,11,2,Wednesday,10,Mañana
148,2024-12-15 07:00:00,2024,12,December,4,50,15,6,Sunday,7,Mañana
149,2024-08-10 08:00:00,2024,8,August,3,32,10,5,Saturday,8,Mañana
150,2024-05-21 14:00:00,2024,5,May,2,21,21,1,Tuesday,14,Tarde
151,2024-12-11 13:00:00,2024,12,December,4,50,11,2,Wednesday,13,Tarde
152,2024-08-10 08:00:00,2024,8,August,3,32,10,5,Saturday,8,Mañana
153,2024-11-06 13:00:00,2024,11,November,4,45,6,2,Wednesday,13,Tarde
154,2024-12-15 16:00:00,2024,12,December,4,50,15,6,Sunday,16,Tarde
155,2024-07-04 13:00:00,2024,7,July,3,27,4,3,Thursday,13,Tarde
156,2024-09-17 13:00:00,2024,9,September,3,38,17,1,Tuesday,13,Tarde
157,2024-05-14 12:00:00,2024,5,May,2,20,14,1,Tuesday,12,Mañana
158,2024-12-09 07:00:00,2024,12,December,4,50,9,0,Monday,7,Mañana
159,2024-08-30 07:00:00,2024,8,August,3,35,30,4,Friday,7,Mañana
160,2024-07-10 13:00:00,2024,7,July,3,28,10,2,Wednesday,13,Tarde
161,2024-05-24 14:00:00,2024,5,May,2,21,24,4,Friday,14,Tarde
162,2024-05-14 16:00:00,2024,5,May,2,20,14,1,Tuesday,16,Tarde
163,2024-03-16 09:00:00,2024,3,March,1,11,16,5,Saturday,9,Mañana
164,2024-05-18 08:00:00,2024,5,May,2,20,18,5,Saturday,8,Mañana
165,2024-05-29 16:00:00,2024,5,May,2,22,29,2,Wednesday,16,Tarde
166,2024-10-31 18:00:00,2024,10,October,4,44,31,3,Thursday,18,Noche
167,2024-05-15 08:00:00,2024,5,May,2,20,15,2,Wednesday,8,Mañana
168,2024-12-04 08:00:00,2024,12,December,4,49,4,2,Wednesday,8,Mañana
169,2024-09-26 18:00:00,2024,9,September,3,39,26,3,Thursday,18,Noche
170,2024-06-27 12:00:00,2024,6,June,2,26,27,3,Thursday,12,Mañana
171,2024-05-14 16:00:00,2024,5,May,2,20,14,1,Tuesday,16,Tarde
172,2024-10-05 09:00:00,2024,10,October,4,40,5,5,Saturday,9,Mañana
173,2024-06-05 08:00:00,2024,6,June,2,23,5,2,Wednesday,8,Mañana
174,2024-07-17 08:00:00,2024,7,July,3,29,17,2,Wednesday,8,Mañana
175,2024-07-16 16:00:00,2024,7,July,3,29,16,1,Tuesday,16,Tarde
176,2024-06-22 14:00:00,2024,6,June,2,25,22,5,Saturday,14,Tarde
177,2024-08-30 15:00:00,2024,8,August,3,35,30,4,Friday,15,Tarde
178,2024-07-08 10:00:00,2024,7,July,3,28,8,0,Monday,10,Mañana
179,2024-09-02 09:00:00,2024,9,September,3,36,2,0,Monday,9,Mañana
180,2024-04-06 16:00:00,2024,4,April,2,14,6,5,Saturday,16,Tarde
181,2024-10-15 16:00:00,2024,10,October,4,42,15,1,Tuesday,16,Tarde
182,2024-12-19 13:00:00,2024,12,December,4,51,19,3,Thursday,13,Tarde
183,2024-11-05 13:00:00,2024,11,November,4,45,5,1,Tuesday,13,Tarde
184,2024-07-28 17:00:00,2024,7,July,3,30,28,6,Sunday,17,Tarde
185,2024-07-03 16:00:00,2024,7,July,3,27,3,2,Wednesday,16,Tarde
186,2024-10-03 14:00:00,2024,10,October,4,40,3,3,Thursday,14,Tarde
187,2024-04-19 17:00:00,2024,4,April,2,16,19,4,Friday,17,Tarde
188,2024-03-05 07:00:00,2024,3,March,1,10,5,1,Tuesday,7,Mañana
189,2024-05-04 12:00:00,2024,5,May,2,18,4,5,Saturday,12,Mañana
190,2024-03-14 18:00:00,2024,3,March,1,11,14,3,Thursday,18,Noche
191,2024-07-19 16:00:00,2024,7,July,3,29,19,4,Friday,16,Tarde
192,2024-04-23 18:00:00,2024,4,April,2,17,23,1,Tuesday,18,Noche
193,2024-12-08 12:00:00,2024,12,December,4,49,8,6,Sunday,12,Mañana
194,2024-06-24 11:00:00,2024,6,June,2,26,24,0,Monday,11,Mañana
195,2024-12-18 17:00:00,2024,12,December,4,51,18,2,Wednesday,17,Tarde
196,2024-03-14 15:00:00,2024,3,March,1,11,14,3,Thursday,15,Tarde
197,2024-12-01 13:00:00,2024,12,December,4,48,1,6,Sunday,13,Tarde
198,2024-03-17 17:00:00,2024,3,March,1,11,17,6,Sunday,17,Tarde
199,2024-11-19 09:00:00,2024,11,November,4,47,19,1,Tuesday,9,Mañana
200,2024-10-22 10:00:00,2024,10,October,4,43,22,1,Tuesday,10,Mañana
201,2024-11-27 14:00:00,2024,11,November,4,48,27,2,Wednesday,14,Tarde
202,2024-11-27 09:00:00,2024,11,November,4,48,27,2,Wednesday,9,Mañana
203,2024-09-09 15:00:00,2024,9,September,3,37,9,0,Monday,15,Tarde
204,2024-11-06 17:00:00,2024,11,November,4,45,6,2,Wednesday,17,Tarde
205,2024-10-01 15:00:00,2024,10,October,4,40,1,1,Tuesday,15,Tarde
206,2024-09-29 14:00:00,2024,9,September,3,39,29,6,Sunday,14,Tarde
207,2024-07-20 14:00:00,2024,7,July,3,29,20,5,Saturday,14,Tarde
208,2024-07-05 11:00:00,2024,7,July,3,27,5,4,Friday,11,Mañana
209,2024-08-06 17:00:00,2024,8,August,3,32,6,1,Tuesday,17,Tarde
210,2024-07-12 17:00:00,2024,7,July,3,28,12,4,Friday,17,Tarde
211,2024-11-02 18:00:00,2024,11,November,4,44,2,5,Saturday,18,Noche
212,2024-10-26 08:00:00,2024,10,October,4,43,26,5,Saturday,8,Mañana
213,2024-12-07 13:00:00,2024,12,December,4,49,7,5,Saturday,13,Tarde
214,2024-09-20 15:00:00,2024,9,September,3,38,20,4,Friday,15,Tarde
215,2024-07-26 16:00:00,2024,7,July,3,30,26,4,Friday,16,Tarde
216,2024-06-08 10:00:00,2024,6,June,2,23,8,5,Saturday,10,Mañana
217,2024-06-06 17:00:00,2024,6,June,2,23,6,3,Thursday,17,Tarde
218,2024-04-29 17:00:00,2024,4,April,2,18,29,0,Monday,17,Tarde
219,2024-06-04 14:00:00,2024,6,June,2,23,4,1,Tuesday,14,Tarde
220,2024-12-25 16:00:00,2024,12,December,4,52,25,2,Wednesday,16,Tarde
221,2024-03-26 11:00:00,2024,3,March,1,13,26,1,Tuesday,11,Mañana
222,2024-04-29 07:00:00,2024,4,April,2,18,29,0,Monday,7,Mañana
223,2024-08-19 14:00:00,2024,8,August,3,34,19,0,Monday,14,Tarde
224,2024-07-14 16:00:00,2024,7,July,3,28,14,6,Sunday,16,Tarde
225,2024-11-21 13:00:00,2024,11,November,4,47,21,3,Thursday,13,Tarde
226,2024-04-26 12:00:00,2024,4,April,2,17,26,4,Friday,12,Mañana
227,2024-05-06 14:00:00,2024,5,May,2,19,6,0,Monday,14,Tarde
228,2024-09-25 12:00:00,2024,9,September,3,39,25,2,Wednesday,12,Mañana
229,2024-11-06 16:00:00,2024,11,November,4,45,6,2,Wednesday,16,Tarde
230,2024-10-28 16:00:00,2024,10,October,4,44,28,0,Monday,16,Tarde
231,2024-04-28 12:00:00,2024,4,April,2,17,28,6,Sunday,12,Mañana
232,2024-03-28 09:00:00,2024,3,March,1,13,28,3,Thursday,9,Mañana
233,2024-03-28 09:00:00,2024,3,March,1,13,28,3,Thursday,9,Mañana
234,2024-10-25 17:00:00,2024,10,October,4,43,25,4,Friday,17,Tarde
235,2024-08-17 11:00:00,2024,8,August,3,33,17,5,Saturday,11,Mañana
